1,31,2,46,52
2,39,45,23,32
3,28,16,0,84
4,63,19,0,81
5,36,2,70,28
6,78,21,18,61
7,80,41,44,15
8,64,49,45,6
9,30,15,38,47
10,30,2,30,68
11,49,48,6,46
12,98,26,34,40
13,83,29,69,2
14,36,26,71,3
15,76,50,48,2
16,55,34,38,28
17,34,42,1,57
18,76,17,65,18
19,41,13,81,6
20,90,7,29,64
21,46,29,56,15
22,45,40,13,47
23,66,48,18,34
24,53,19,74,7
25,91,12,28,60
26,36,2,33,65
27,22,14,67,19
28,41,14,33,53
29,91,20,48,32
30,27,32,52,16
31,93,27,11,62
32,83,11,18,71
33,76,10,1,89
34,47,28,61,11
35,36,24,48,28
36,34,30,9,61
37,95,26,30,44
38,79,15,66,19
39,44,21,21,58
40,70,16,1,83
41,67,20,72,8
42,72,8,66,26
43,77,10,43,47
44,63,15,5,80
45,41,46,41,13
46,33,2,76,22
47,27,46,47,7
48,27,12,73,15
49,34,8,32,60
50,35,33,31,36
51,63,44,44,12
52,74,35,15,50
53,34,44,40,16
54,81,35,33,32
55,69,16,56,28
56,73,14,32,54
57,92,35,36,29
58,95,36,64,0
59,52,47,53,0
60,83,31,67,2
61,33,0,8,92
62,60,46,24,30
63,46,42,25,33
64,35,28,31,41
65,36,9,38,53
66,36,9,40,51
67,55,35,53,12
68,59,10,6,84
69,56,14,19,67
70,35,17,52,31
71,55,25,2,73
72,80,45,12,43
73,96,11,7,82
74,75,26,28,46
75,26,48,24,28
76,96,20,58,22
77,44,27,24,49
78,79,1,39,60
79,56,11,64,25
80,81,0,12,88
81,77,6,52,42
82,52,38,39,23
83,91,22,17,61
84,78,46,50,4
85,67,31,44,25
86,48,13,74,13
87,32,44,8,48
88,28,4,2,94
89,86,14,73,13
90,21,28,35,37
91,90,26,60,14
92,41,12,87,1
93,68,34,63,3
94,83,1,57,42
95,31,25,75,0
96,33,28,48,24
97,74,11,8,81
98,80,13,75,12
99,82,16,76,8
100,55,42,53,5
101,35,14,74,12
102,69,50,33,17
103,91,47,51,2
104,36,40,7,53
105,62,33,24,43
106,78,33,49,18
107,52,2,69,29
108,40,11,69,20
109,41,22,52,26
110,88,31,2,67
111,96,34,39,27
112,60,25,74,1
113,49,2,90,8
114,98,3,31,66
115,26,34,41,25
116,20,15,54,31
117,62,39,43,18
118,71,10,76,14
119,33,7,33,60
120,50,4,4,92
121,90,12,28,60
122,95,11,2,87
123,88,24,60,16
124,28,33,57,10
125,34,6,84,10
126,57,10,89,1
127,59,35,61,4
128,52,9,76,15
129,47,42,33,25
130,32,7,50,43
131,80,19,11,70
132,70,15,25,60
133,64,50,28,22
134,64,17,38,45
135,90,22,43,35
136,25,0,72,28
137,91,43,26,31
138,74,22,63,15
139,73,21,52,27
140,75,40,52,8
141,44,34,60,6
142,47,4,42,54
143,30,47,28,25
144,34,8,73,19
145,53,4,74,22
146,71,16,43,41
147,55,18,23,59
148,77,2,98,0
149,46,41,13,46
150,34,45,32,23
151,90,4,92,4
152,100,3,10,87
153,92,7,44,49
154,42,40,38,22
155,41,16,65,19
156,41,0,12,88
157,33,33,22,45
158,78,11,82,7
159,78,27,0,73
160,94,45,24,31
161,23,41,26,33
162,83,49,25,26
163,45,49,13,38
164,83,35,22,43
165,46,45,9,46
166,67,0,93,7
167,82,9,13,78
168,44,4,70,26
169,77,8,53,39
170,94,26,22,52
171,42,34,16,50
172,92,48,0,52
173,92,38,59,3
174,61,40,31,29
175,39,26,37,37
176,56,21,40,39
177,82,33,62,5
178,45,32,60,8
179,73,48,44,8
180,26,28,23,49
181,70,10,46,44
182,60,12,16,72
183,47,1,2,97
184,42,12,60,28
185,51,37,15,48
186,51,4,85,11
187,27,12,57,31
188,85,11,72,17
189,93,5,74,21
190,61,24,41,35
191,98,1,61,38
192,30,3,92,5
193,35,34,28,38
194,82,39,54,7
195,23,18,69,13
196,74,12,60,28
197,32,48,4,48
198,33,35,4,61
199,71,33,29,38
200,30,46,29,25
